State,Year,Enroll,Total_Revenue,Total_Expenditure,Expenditure_Per_Pupil,Population,GDP_Per_Capita,State_Tax_Collection,Income_Per_Capita,Known_Property_Crimes,Unemployment_Rate
Louisiana,1994,798312.0,3571864,3539581,4519.268628100001,4306500.0,,219190000.0,18682,232078.0,0.07841666666666666
Maine,1994,211731.0,1357116,1338353,6068.6054539,1237687.0,,91955000.0,19927,38753.0,0.06991666666666667
Maryland,1994,772638.0,5141505,5187683,6957.5799129,4985411.0,,320068000.0,26124,258988.0,0.052583333333333336
Massachusetts,1994,877384.0,6410757,6391131,6959.4348146,6031352.0,,1062930000.0,26603,198694.0,0.060249999999999984
Michigan,1994,1601845.0,11762546,12023935,6658.127971600001,9584481.0,,2174644000.0,22559,408816.0,0.060083333333333336
Minnesota,1994,802913.0,5262482,5581140,5719.5057689,4566028.0,,551822000.0,23084,179682.0,0.040583333333333325
Mississippi,1994,503374.0,1911579,1919812,3660.3883959,2663450.0,,167873000.0,16678,77482.0,0.06266666666666666
Missouri,1994,852324.0,4488359,4575564,5113.7795596,5281206.0,,252392000.0,21317,226692.0,0.05058333333333333
Montana,1994,163968.0,878986,878084,5597.6856703,854923.0,,68872000.0,18195,0.0,0.052333333333333336
Nebraska,1994,283962.0,1710913,1769248,5650.598553399999,1621551.0000000002,,113142000.0,21598,65251.0,0.026333333333333344
Nevada,1994,235800.0,1266549,1344245,5051.8171545000005,1456388.0,,,24357,81803.0,0.061750000000000006
New Hampshire,1994,181688.0,1145147,1119762,5723.3670667,1133053.9999999998,,144157000.0,24133,25889.0,0.04725000000000001
New Jersey,1994,651554.0,6957898,6765105,9677.2723134,7918795.999999999,,1085055000.0,28071,319845.0,0.06816666666666667
New Mexico,1994,286759.0,1342868,1223759,4260.837107599999,1653329.0,,122528000.0,18111,69559.0,0.06466666666666668
New York,1994,2702937.0,23933662,25359726,9174.7257919,18156652.0,,3120034000.0,26264,718911.0,0.06941666666666667
North Carolina,1994,1131662.0,5648390,5740906,4894.360269,7060959.0,,737260000.0,20833,344930.0,0.043666666666666666
North Dakota,1994,118778.0,603902,621313,4673.676201100001,639762.0,,71461000.0,19456,16836.0,0.037083333333333336
Ohio,1994,1816817.0,10735756,10780138,5971.145533,11111451.0,,652543000.0,21782,376823.0,0.05566666666666666
Oklahoma,1994,316322.0,1518540,1529205,4733.8858721999995,3246119.0,,162214000.0,18509,160008.0,0.05550000000000001
Oregon,1994,518425.0,3088542,3191792,6262.9491692,3087142.0000000005,,263682000.0,21399,176358.0,0.05441666666666667
Pennsylvania,1994,1720681.0,13271564,13701725,6982.935981999999,12042545.0,,1486299000.0,22613,323147.0,0.0625
Rhode Island,1994,144918.0,1012987,994885,7333.1606402,993411.9999999999,,79320000.0,22508,37323.0,0.06916666666666665
South Carolina,1994,634415.0,3179542,3156251,4761.1437533,3666455.9999999995,,219052000.0,18753,184303.0,0.062083333333333324
South Dakota,1994,108439.0,507927,525289,4585.6041709,723038.0,,36540000.0,20021,17330.0,0.03275
Tennessee,1994,857014.0,3535898,3661470,4148.8593526,5163016.0,,421960000.0,20395,192877.0,0.04833333333333334
Texas,1994,3601627.0,19713604,19224149,4897.8424385,18338319.0,,,20206,949167.0,0.06491666666666668
Utah,1994,469811.0,1792011,1846448,3438.5894321999995,1930436.0000000002,,125191000.0,17879,94128.0,0.03791666666666667
Vermont,1994,98377.0,892124,869710,6599.9758585,578900.0,,34932000.0,20764,17146.0,0.04566666666666667
Virginia,1994,1044721.0,6125739,6276362,5108.9397749,6536771.0,,306667000.0,24138,239601.0,0.04841666666666666
Washington,1994,915952.0,5739012,5968590,5750.6061156000005,5334896.0,,,23495,292892.0,0.06533333333333334
West Virginia,1994,313750.0,1854403,1843973,5713.0863555,1818490.0,,184625000.0,17410,42082.0,0.08825
Wisconsin,1994,843747.0,5682439,5860230,6717.1999449,5095504.0,,541284000.0,22015,185533.0,0.044833333333333336
Wyoming,1994,100899.0,674921,623146,5899.130565199999,474982.0,,,20868,19022.0,0.04958333333333333
Alabama,1995,727480.0,3367437,3353363,4404.7738015,4262731.0,,236279000.0,19866,176956.0,0.059500000000000004
Alaska,1995,125421.0,1117068,1203817,8963.1983947,601345.0,,528005000.0,26041,26654.0,0.07316666666666667
Arizona,1995,735018.0,3815218,4056279,4778.3259022,4306907.999999999,,417481000.0,20594,307485.0,0.053583333333333316
Arkansas,1995,447757.0,2057550,2155067,4458.5103573999995,2480121.0,,191600000.0,18579,102493.0,0.048499999999999995
California,1995,5299405.0,29512214,30097549,4991.8229276,31493525.0,,5747929000.0,24595,1501720.0,0.07858333333333334
Colorado,1995,639805.0,3709875,3766191,5442.5472148,3738060.9999999995,,190026000.0,24778,177832.0,0.040083333333333346
Connecticut,1995,489513.0,4420632,4252186,8816.602218600001,3265292.9999999995,,698918000.0,31722,133891.0,0.05491666666666666
Delaware,1995,106813.0,802018,772669,7029.5740083,718265.0,,193649000.0,24972,11256.0,0.043250000000000004
District of Columbia,1995,80450.0,700111,708224,9334.859516299999,580516.9999999999,,,31755,52697.0,0.08750000000000002
Florida,1995,2107514.0,13242710,13473977,5718.0857905,14185403.0,,944969000.0,23686,925756.0,0.05516666666666667
Georgia,1995,1270948.0,7052825,7292267,5192.9966168,7188538.0,,653296000.0,22136,368345.0,0.04825
Hawaii,1995,183869.0,1173579,1157159,6078.020460399999,1180490.0,,47296000.0,25715,81938.0,0.058750000000000004
Idaho,1995,240448.0,1083215,1108075,4209.7751675,1165000.0,,129470000.0,20008,47511.0,0.05416666666666667
Illinois,1995,1897161.0,12236673,11821661,6135.6431173,11884935.0,,1481460000.0,25684,228675.0,0.051500000000000004
Indiana,1995,966622.0,6514934,6377558,5826.2906612,5791819.0,,874305000.0,21940,178752.0,0.04608333333333334
Iowa,1995,498837.0,3076971,3100772,5483.1533437,2840860.0,,220675000.0,21440,87716.0,0.034583333333333334
Kansas,1995,460905.0,2826943,2756682,5817.2248833,2586942.0,,261408000.0,22358,37864.0,0.044166666666666674
Kentucky,1995,639992.0,3508673,3415870,5216.6531961,3855248.0,,340912000.0,19241,108164.0,0.054083333333333344
Louisiana,1995,797061.0,3791795,3735603,4760.5778103,4327978.0,,283076000.0,19459,235539.0,0.06983333333333333
Maine,1995,212154.0,1446745,1438795,6428.2333401999995,1237438.0,,63290000.0,20812,39100.0,0.05933333333333333
Maryland,1995,790938.0,5580123,5610071,7245.472960100001,5023650.0,,365759000.0,26999,267571.0,0.05041666666666668
Massachusetts,1995,893727.0,7326904,6706082,7287.1401412000005,6062335.0,,1205667000.0,27933,198657.0,0.05283333333333332
Michigan,1995,1604527.0,12500208,12477806,6994.3958576,9659871.0,,2130395000.0,23664,395455.0,0.05258333333333333
Minnesota,1995,816695.0,5744447,6155324,5999.527937899999,4605445.0,,665756000.0,24169,188738.0,0.03725
Mississippi,1995,503301.0,2118973,2160068,4079.7998191,2690788.0,,203339000.0,17403,71575.0,0.06216666666666666
Missouri,1995,862505.0,4852467,4957215,5383.2045829,5324610.0,,369424000.0,22183,222833.0,0.04725
Montana,1995,164109.0,911284,899635,5691.940414600001,868521.9999999999,,75520000.0,18862,6505.0,0.056500000000000015
Nebraska,1995,285836.0,1832463,1874253,5935.0129795,1635142.0,,123924000.0,22583,66974.0,0.02641666666666666
Nevada,1995,250749.0,1367710,1381200,5160.1910929,1525777.0,,,25346,84998.0,0.055583333333333325
New Hampshire,1995,186239.0,1197945,1232465,5858.8809119,1145604.0,,166451000.0,25312,22541.0,0.03975
New Jersey,1995,1171658.0,11870183,11961696,9774.4639654,7965523.0,,1028947000.0,29609,326022.0,0.06408333333333334
New Mexico,1995,327253.0,1646265,1540683,4577.4359575,1682417.0000000002,,150343000.0,19035,74337.0,0.06583333333333333
New York,1995,2738361.0,25063999,26540967,9623.2270034,18150928.0,,2814568000.0,27620,643614.0,0.06316666666666666
North Carolina,1995,1155248.0,6076939,6217951,5076.7287298,7185403.0,,906007000.0,21857,354818.0,0.04308333333333333
North Dakota,1995,119288.0,642234,621904,4794.8154831,641548.0,,69880000.0,19417,17048.0,0.03233333333333333
Ohio,1995,1829761.0,11368650,11330046,6161.581631600001,11155493.0,,713252000.0,22707,349485.0,0.04791666666666667
Oklahoma,1995,609743.0,3156526,3180275,4845.3939805,3265547.0,,166746000.0,19164,161522.0,0.04591666666666667
Oregon,1995,519284.0,3302062,3255984,6436.3546115,3141421.0,,312001000.0,22583,184283.0,0.048999999999999995
Pennsylvania,1995,1741698.0,13957035,14135826,7109.142089200001,12044780.0,,1784579000.0,23592,313421.0,0.058583333333333334
Rhode Island,1995,146609.0,1089859,1056716,7714.7260936,989203.0,,82160000.0,23708,38380.0,0.06316666666666666
South Carolina,1995,638880.0,3389646,3286673,4797.4935083,3699942.9999999995,,250214000.0,19629,187839.0,0.051916666666666667
South Dakota,1995,135494.0,684882,693964,4775.1949585,728251.0000000001,,39914000.0,20238,17974.0,0.030416666666666675
Tennessee,1995,870594.0,3870164,3958973,4388.0335868,5241168.0,,493072000.0,21508,204420.0,0.05166666666666667
Texas,1995,3670007.0,20483376,20198924,5222.3348294,18679706.000000004,,,21177,939428.0,0.060583333333333336
Utah,1995,472589.0,1953833,2045331,3655.6366225999996,1976774.0,,147374000.0,18981,108552.0,0.034999999999999996
Vermont,1995,100317.0,934916,891398,6749.5404227,582827.0,,48274000.0,21702,17764.0,0.04258333333333332
Virginia,1995,1060809.0,6354418,6590998,5326.8547294,6601392.0,,367832000.0,25028,240071.0,0.04525000000000001
Washington,1995,938314.0,5985425,6200754,5905.7067906,5431024.0,,,24358,302586.0,0.06425
West Virginia,1995,310231.0,1916605,1925100,6107.436335,1820560.0,,218686000.0,17953,41041.0,0.07875
Wisconsin,1995,865374.0,6006745,6056854,6930.340698800001,5137004.0,,670891000.0,22909,184060.0,0.03774999999999999
Wyoming,1995,100314.0,634237,642935,6160.079271199999,478446.99999999994,,,21626,19380.0,0.047749999999999994
Alabama,1996,735912.0,3365113,3572283,4716.165120000001,4290403.0,,217616000.0,20569,178716.0,0.052250000000000005
Alaska,1996,126189.0,1120346,1240031,9012.072379700001,604918.0,,326270000.0,26565,25087.0,0.07583333333333334
Arizona,1996,764681.0,4143304,4391555,4860.193114199999,4432308.0,,448040000.0,21572,275606.0,0.05566666666666668
Arkansas,1996,452907.0,2183384,2297381,4709.926216,2504857.9999999995,,228801000.0,19444,104473.0,0.05249999999999999
California,1996,5460484.0,31282981,31561692,5107.8701089,31780828.999999996,,5831072000.0,25885,1382800.0,0.07258333333333336
Colorado,1996,655679.0,3891203,4075165,5521.4375215,3812716.0,,205700000.0,26090,172937.0,0.042416666666666665
Connecticut,1996,499815.0,4686025,4538234,8817.101983499999,3267030.0,,641389000.0,33143,124924.0,0.055
Delaware,1996,108461.0,860410,823530,7266.69486,727090.0,,166021000.0,26310,24934.0,0.050916666666666666
District of Columbia,1996,79802.0,678874,703245,9564.7392009,572377.0,,,33536,51188.0,0.08416666666666667
Florida,1996,2175352.0,13684457,13936240,5894.0829161,14426911.0,,1007556000.0,24667,462767.0,0.05166666666666667
Georgia,1996,1311126.0,7764687,7934236,5377.487590600001,7332225.0,,719400000.0,23368,400289.0,0.04683333333333334
Hawaii,1996,187104.0,1199019,1231550,6051.2843287,1184434.0,,65547000.0,25575,74639.0,0.06258333333333334
Idaho,1996,243097.0,1134052,1198223,4464.6365388,1187706.0000000002,,152735000.0,20827,44410.0,0.05300000000000002
Illinois,1996,1924970.0,12732129,12423100,6128.3058928,11953003.0,,1621276000.0,27109,233527.0,0.05275
Indiana,1996,975455.0,6422662,6644035,6039.9481306,5834908.0,,894403000.0,22972,180798.0,0.040583333333333325
Iowa,1996,502343.0,3258040,3284185,5771.7372346,2848473.0,,202929000.0,23266,89004.0,0.03525
Kansas,1996,463008.0,2914544,3007653,5971.278723899999,2598266.0,,254873000.0,23703,36401.0,0.04241666666666667
Kentucky,1996,639531.0,3622788,3826435,5545.21111,3881051.0,,284733000.0,20254,53636.0,0.0545
Louisiana,1996,796087.0,3879633,3815375,4987.6314604,4338763.0,,327543000.0,20222,241287.0,0.066
Maine,1996,213601.0,1485138,1465093,6545.8835077,1241436.0000000002,,71062000.0,21903,40428.0,0.05208333333333333
Maryland,1996,805544.0,5688918,5825606,7382.4907059,5057142.0,,330553000.0,28027,260080.0,0.050333333333333334
Massachusetts,1996,912330.0,7129757,7479576,7613.4933252,6085393.0,,1227861000.0,29523,187564.0,0.044416666666666674
Michigan,1996,1631131.0,13012080,13071893,7165.580158499999,9739184.000000002,,2189742000.0,24696,386371.0,0.048916666666666664
Minnesota,1996,827418.0,6101416,6423285,6162.0788639,4647723.0,,703099000.0,25778,191760.0,0.03941666666666667
Mississippi,1996,503602.0,2241561,2268726,4250.0608596,2709925.0,,201742000.0,18300,76252.0,0.06025
Missouri,1996,873867.0,5251014,5277785,5625.986089,5367888.000000001,,425542000.0,23271,223173.0,0.04758333333333332
Montana,1996,165390.0,944623,924259,5846.554973899999,876656.0000000001,,75762000.0,19530,0.0,0.053250000000000006
Nebraska,1996,289251.0,1909834,1940808,6082.9562335,1647657.0000000002,,126801000.0,24348,64803.0,0.02741666666666667
Nevada,1996,265041.0,1551169,1608989,5320.2002724,1596476.0,,,26611,82876.0,0.05041666666666667
New Hampshire,1996,191004.0,1269380,1295106,5957.9743995,1160768.0,,179652000.0,26417,25918.0,0.03808333333333334
New Jersey,1996,1193928.0,12389781,12469216,9955.4015732,8009624.0,,1155270000.0,31074,303643.0,0.06141666666666668
New Mexico,1996,329661.0,1750519,1642517,4586.7092164999995,1706151.0,,163402000.0,19637,82042.0,0.07216666666666666
New York,1996,2788343.0,26026366,26974514,9548.9761321,18143805.0,,2729835000.0,28953,618414.0,0.06258333333333334
North Carolina,1996,1181600.0,6516400,6517111,5090.201328,7307658.0,,939278000.0,22923,356175.0,0.04291666666666667
North Dakota,1996,119102.0,655971,657809,4979.3796997,642858.0000000001,,74299000.0,21635,14598.0,0.028999999999999998
Ohio,1996,1837628.0,12172778,11935582,6266.065388399999,11187032.0,,807435000.0,23710,355363.0,0.049916666666666665
Oklahoma,1996,616436.0,3185234,3195426,4880.5964166,3289634.0,,163734000.0,20101,166892.0,0.04066666666666666
Oregon,1996,527769.0,3375710,3509765,6614.9053079,3195087.0,,300459000.0,23889,171236.0,0.057
Pennsylvania,1996,1764117.0,14671368,15048791,7491.533181700001,12038008.0,,1504010000.0,24767,321085.0,0.054416666666666676
